,2010,2011,2012,2013,2014,2015,2016,2017
0,6,5,5,3,5.0,6.0,6.0,6.0
1,6,6,0,6,4.0,6.0,3.0,3.0
2,6,6,6,6,1.0,6.0,4.0,6.0
3,6,6,6,4,4.0,6.0,6.0,4.0
4,5,4,6,6,6.0,3.0,6.0,6.0
5,6,6,6,3,6.0,6.0,6.0,6.0
6,3,6,6,6,6.0,4.0,6.0,4.0
7,5,6,6,5,4.0,4.0,6.0,6.0
8,6,6,6,6,6.0,4.0,6.0,6.0
9,6,6,0,3,6.0,6.0,6.0,6.0
10,3,6,5,6,3.0,3.0,0.0,0.0
11,6,3,6,4,6.0,4.0,6.0,3.0
12,6,6,6,6,3.0,0.0,6.0,6.0
13,6,6,6,3,6.0,6.0,6.0,6.0
14,6,6,6,6,6.0,6.0,6.0,0.0
15,6,6,6,6,6.0,3.0,6.0,0.0
16,6,6,5,6,6.0,0.0,3.0,6.0
17,6,6,6,3,5.0,4.0,6.0,6.0
18,6,6,5,5,6.0,6.0,5.0,6.0
19,4,6,6,6,6.0,6.0,3.0,6.0
20,6,6,6,6,6.0,0.0,6.0,6.0
21,6,6,6,6,6.0,6.0,6.0,4.0
22,6,6,6,4,4.0,6.0,6.0,6.0
23,6,6,6,6,6.0,6.0,6.0,3.0
24,6,6,6,6,6.0,6.0,3.0,6.0
25,6,6,6,3,6.0,6.0,6.0,6.0
26,6,6,6,6,6.0,5.0,6.0,6.0
27,6,6,6,6,0.0,5.0,4.0,4.0
28,6,0,6,3,6.0,3.0,6.0,3.0
29,6,4,6,0,6.0,6.0,6.0,6.0
30,6,0,3,6,4.0,4.0,6.0,0.0
31,4,6,6,6,5.0,5.0,6.0,2.0
32,4,0,3,5,6.0,6.0,6.0,6.0
33,3,3,6,5,0.0,4.0,6.0,6.0
34,4,6,6,3,5.0,6.0,5.0,3.0
35,5,6,6,6,6.0,6.0,0.0,6.0
36,6,6,6,4,6.0,6.0,0.0,6.0
37,6,6,6,2,6.0,6.0,6.0,6.0
38,6,6,6,3,6.0,4.0,5.0,6.0
39,6,6,6,0,6.0,6.0,2.0,6.0
40,0,3,6,4,6.0,6.0,6.0,6.0
41,0,4,6,6,6.0,3.0,0.0,6.0
42,3,6,6,6,2.0,5.0,4.0,6.0
43,6,6,6,6,6.0,6.0,6.0,6.0
44,6,4,6,6,6.0,2.0,5.0,5.0
45,6,0,6,6,6.0,6.0,6.0,5.0
46,4,6,6,6,6.0,6.0,6.0,6.0
47,3,0,6,6,6.0,6.0,6.0,6.0
48,6,5,6,6,4.0,6.0,3.0,0.0
49,3,6,6,6,6.0,6.0,1.0,4.0
50,6,6,6,6,6.0,2.0,6.0,4.0
51,6,2,6,6,6.0,6.0,6.0,6.0
52,6,3,6,6,6.0,6.0,6.0,4.0
53,6,6,6,6,6.0,4.0,6.0,4.0
54,6,6,6,6,6.0,6.0,6.0,6.0
55,6,6,0,6,4.0,3.0,6.0,6.0
56,6,6,6,6,6.0,4.0,0.0,4.0
57,6,6,5,6,6.0,6.0,4.0,6.0
58,6,6,6,4,6.0,4.0,6.0,4.0
59,6,0,4,6,4.0,6.0,4.0,6.0
60,4,6,6,6,4.0,6.0,0.0,6.0
61,6,6,6,6,6.0,6.0,3.0,5.0
62,6,3,6,6,6.0,0.0,0.0,6.0
63,3,6,6,6,4.0,6.0,6.0,6.0
64,6,6,6,6,6.0,6.0,3.0,6.0
65,6,6,4,6,0.0,6.0,4.0,6.0
66,6,6,6,6,3.0,6.0,6.0,6.0
67,6,6,6,3,3.0,6.0,6.0,6.0
68,4,6,6,6,4.0,6.0,6.0,6.0
69,6,6,6,6,6.0,6.0,5.0,6.0
70,6,6,6,4,6.0,6.0,3.0,6.0
71,6,6,6,6,2.0,0.0,5.0,6.0
72,6,4,6,6,6.0,3.0,4.0,6.0
73,6,6,6,5,6.0,6.0,0.0,3.0
74,6,6,6,6,6.0,5.0,5.0,3.0
75,2,6,4,4,3.0,6.0,6.0,4.0
76,3,6,6,3,3.0,6.0,6.0,3.0
77,4,6,6,6,0.0,6.0,6.0,6.0
78,6,6,3,4,5.0,5.0,6.0,6.0
79,6,6,6,0,1.0,3.0,6.0,6.0
80,6,6,6,3,3.0,6.0,3.0,6.0
81,6,0,6,3,6.0,6.0,0.0,6.0
82,6,6,4,6,6.0,6.0,0.0,6.0
83,0,4,6,6,5.0,6.0,6.0,6.0
84,3,6,6,4,6.0,6.0,6.0,6.0
85,6,6,6,6,6.0,3.0,0.0,6.0
86,6,6,6,6,4.0,6.0,5.0,6.0
87,0,3,1,3,6.0,6.0,5.0,6.0
88,5,6,6,6,6.0,6.0,6.0,6.0
89,6,4,6,6,6.0,6.0,4.0,6.0
90,6,6,0,6,4.0,6.0,6.0,6.0
91,6,6,6,6,6.0,5.0,6.0,2.0
92,6,2,6,4,6.0,6.0,5.0,6.0
93,6,6,6,6,5.0,6.0,6.0,0.0
94,6,3,6,4,3.0,4.0,6.0,6.0
95,3,0,4,6,4.0,5.0,0.0,6.0
96,6,0,6,6,5.0,4.0,6.0,6.0
97,6,6,3,6,3.0,3.0,0.0,4.0
98,6,6,6,6,6.0,6.0,6.0,4.0
99,6,6,6,6,3.0,6.0,6.0,6.0
100,6,6,6,0,6.0,0.0,6.0,6.0
101,6,6,6,6,6.0,3.0,6.0,6.0
102,6,6,4,5,4.0,6.0,4.0,6.0
103,6,6,6,6,2.0,3.0,0.0,6.0
104,4,3,6,3,6.0,6.0,6.0,6.0
105,5,6,6,6,6.0,6.0,6.0,6.0
106,6,6,6,4,6.0,6.0,6.0,6.0
107,0,2,6,4,3.0,4.0,6.0,4.0
108,6,6,6,6,3.0,6.0,0.0,6.0
109,6,4,6,6,5.0,6.0,3.0,6.0
110,6,5,6,6,6.0,6.0,4.0,6.0
111,3,3,6,6,6.0,2.0,6.0,6.0
112,1,6,6,6,6.0,6.0,6.0,6.0
113,3,5,6,6,0.0,6.0,6.0,6.0
114,4,6,0,5,6.0,6.0,6.0,6.0
115,6,6,6,6,6.0,6.0,3.0,6.0
116,5,6,6,6,6.0,6.0,4.0,5.0
117,6,0,6,6,6.0,6.0,4.0,5.0
118,6,0,6,6,6.0,6.0,6.0,3.0
119,6,5,6,6,4.0,6.0,0.0,6.0
120,6,5,6,6,6.0,6.0,6.0,5.0
121,6,6,6,6,6.0,6.0,2.0,6.0
122,6,0,6,6,4.0,5.0,2.0,6.0
123,0,6,6,6,4.0,6.0,4.0,6.0
124,6,6,6,6,6.0,6.0,6.0,0.0
125,4,6,0,6,6.0,4.0,0.0,6.0
126,6,6,6,5,4.0,6.0,6.0,5.0
127,3,6,6,6,6.0,0.0,5.0,6.0
128,0,6,6,6,0.0,6.0,6.0,6.0
129,6,6,6,4,6.0,6.0,4.0,6.0
130,6,6,0,6,5.0,6.0,5.0,3.0
131,6,6,6,4,6.0,4.0,6.0,6.0
132,0,6,6,0,2.0,6.0,6.0,6.0
133,4,6,6,0,6.0,3.0,4.0,6.0
134,5,6,6,3,6.0,6.0,0.0,4.0
135,3,6,6,5,6.0,0.0,6.0,6.0
136,6,4,6,6,6.0,5.0,3.0,6.0
137,3,0,6,6,4.0,6.0,4.0,6.0
138,6,0,6,6,6.0,6.0,5.0,6.0
139,6,6,6,4,2.0,6.0,3.0,6.0
140,6,4,6,6,3.0,6.0,5.0,6.0
